,Acellular Life,,,,,,
,Question,Option A,Option B,Option C,Option D,Correct Answer,
1,Which acellular entity is considered non-living outside a host?,Virus,Bacteria,Fungi,Protozoa,Virus,Viruses are inert outside of living cells.
2,What is the genetic material of most viruses?,DNA,RNA,Both DNA and RNA,Neither DNA nor RNA,Both DNA and RNA,Viruses can have DNA or RNA as genetic material.
3,What is the protein coat of a virus called?,Capsid,Envelope,Nucleoid,Capsule,Capsid,Capsid is the protein shell surrounding genome.
4,Which of these is not an acellular life form?,Bacteria,Virus,Viroid,Prion,Bacteria,"Bacteria are living, cellular organisms."
5,Which acellular particle causes mad cow disease?,Prion,Viroid,Virus,Bacteriophage,Prion,Prions cause mad cow disease (BSE).
6,What is the role of a viral envelope?,Protects genetic material,Assists in replication,Synthesizes proteins,None of these,Protects genetic material,Envelope protects genome and aids entry.
7,Which acellular life form is smallest in size?,Viroid,Virus,Prion,Bacteriophage,Viroid,"Viroids are naked RNA, smallest infectious agents."
8,What is the term for a virus infecting bacteria?,Bacteriophage,Retrovirus,Viroid,Prion,Bacteriophage,Bacteriophages specifically infect bacteria.
9,Which of these acellular forms can replicate without DNA?,RNA virus,DNA virus,Prion,Viroid,RNA virus,"RNA viruses use RNA for replication (e.g., retroviruses)."
10,Which kingdom includes viruses?,None,Monera,Protista,Fungi,None,Viruses are not classified into kingdoms.
11,What does a retrovirus use to synthesize DNA?,Reverse transcriptase,DNA polymerase,RNA polymerase,Ligase,Reverse transcriptase,Retroviruses use reverse transcriptase to make DNA from RNA.
12,"Which term refers to a complete, infective virus particle?",Virion,Capsid,Nucleoid,Prion,Virion,"A virion is a complete, infectious virus."
13,Which disease is caused by a prion?,Creutzfeldt-Jakob disease,Influenza,AIDS,Hepatitis,Creutzfeldt-Jakob disease,CJD is a neurodegenerative prion disease.
14,What is a characteristic feature of a viroid?,RNA without protein coat,DNA with protein coat,Protein only,DNA without protein coat,RNA without protein coat,"Viroids are naked, circular RNA."
